date,close,high,low,open,volume
2020-09-08 00:00:00+00:00,271.16,279.3,269.42,271.28,24863997
2020-09-09 00:00:00+00:00,273.72,278.48,271.35,275.77,22918769
2020-09-10 00:00:00+00:00,268.09,279.16,267.0319,275.51,24814669
2020-09-11 00:00:00+00:00,266.61,271.39,262.64,270.06,18913883
2020-09-14 00:00:00+00:00,266.15,276.64,265.7,270.95,24093830
2020-09-15 00:00:00+00:00,272.42,274.52,269.3,270.67,18478530
2020-09-16 00:00:00+00:00,263.52,272.44,261.79,267.29,29207594
2020-09-17 00:00:00+00:00,254.82,261.5,250.19,258.28,31281441
2020-09-18 00:00:00+00:00,252.53,259.2,250.05,258.405,28130767
2020-09-21 00:00:00+00:00,248.15,249.95,244.13,247.54,24709378
2020-09-22 00:00:00+00:00,254.75,255.32,248.22,253.31,30293103
2020-09-23 00:00:00+00:00,249.02,257.9921,248.15,255.26,19641266
2020-09-24 00:00:00+00:00,249.53,252.24,245.62,246.5,20006750
2020-09-25 00:00:00+00:00,254.82,255.75,246.61,249.4,18351311
2020-09-28 00:00:00+00:00,256.82,259.6,254.8208,259.4,18826254
2020-09-29 00:00:00+00:00,261.79,263.33,256.9,257.81,20215504
2020-09-30 00:00:00+00:00,261.9,266.085,260.1,261.98,20142546
2020-10-01 00:00:00+00:00,266.63,268.33,264.8,265.35,20009801
2020-10-02 00:00:00+00:00,259.94,265.15,259.18,261.21,16367597
2020-10-05 00:00:00+00:00,264.65,264.865,260.8401,262.2,12822252
2020-10-06 00:00:00+00:00,258.66,265.69,258.24,261.78,18696917
2020-10-07 00:00:00+00:00,258.12,260.18,254.82,259.21,23133417
2020-10-08 00:00:00+00:00,263.76,264.62,259.1488,259.75,16312762
2020-10-09 00:00:00+00:00,264.45,264.75,262.17,264.52,14107803
2020-10-12 00:00:00+00:00,275.75,280.18,267.87,270.2,31019256
2020-10-13 00:00:00+00:00,276.14,279.1,273.39,277.58,18063343
2020-10-14 00:00:00+00:00,271.82,278.75,271.5,277.62,15601154
2020-10-15 00:00:00+00:00,266.72,269.04,263.67,267.6,15416064
2020-10-16 00:00:00+00:00,265.93,271.37,265.3,267.375,16622702
2020-10-19 00:00:00+00:00,261.4,268.55,259.88,265.53,13586955
2020-10-20 00:00:00+00:00,267.56,269.7,262.88,263.06,18763246
2020-10-21 00:00:00+00:00,278.73,283.05,276.37,279.56,28998638
2020-10-22 00:00:00+00:00,278.12,282.45,275.04,279.87,16720026
2020-10-23 00:00:00+00:00,284.79,285.24,276.82,278.8024,17535155
2020-10-26 00:00:00+00:00,277.11,285.23,274.26,283.16,21322925
2020-10-27 00:00:00+00:00,283.29,284.51,276.31,278.76,16287249
2020-10-28 00:00:00+00:00,267.67,278.79,267.26,278.79,23121808
2020-10-29 00:00:00+00:00,280.83,283.6,273.78,276.55,32368118
2020-10-30 00:00:00+00:00,263.11,276.7,259.1,274.5,47299002
2020-11-02 00:00:00+00:00,261.36,270.47,257.34,264.6,27165679
