date,open,high,low,close,volume
2020-07-09 00:00:00+00:00,385.05,385.27,378.69,383.01,31420357
2020-07-10 00:00:00+00:00,381.34,383.92,378.82,383.68,22564330
2020-07-13 00:00:00+00:00,389.06,399.82,381.03,381.91,47913079
2020-07-14 00:00:00+00:00,379.36,389.02,375.51,388.23,42748119
2020-07-15 00:00:00+00:00,395.96,396.99,385.96,390.9,38306874
2020-07-16 00:00:00+00:00,386.25,389.62,383.62,386.09,27645927
2020-07-17 00:00:00+00:00,387.95,388.59,383.36,385.31,23046755
2020-07-20 00:00:00+00:00,385.67,394.0,384.25,393.43,22397208
2020-07-21 00:00:00+00:00,396.69,397.0,386.97,388.0,25627347
2020-07-22 00:00:00+00:00,386.77,391.9,386.41,389.09,22250413
2020-07-23 00:00:00+00:00,387.9935,388.31,368.039,371.38,49251108
2020-07-24 00:00:00+00:00,363.95,371.88,356.58,370.46,46359716
2020-07-27 00:00:00+00:00,374.84,379.62,373.92,379.24,30303548
2020-07-28 00:00:00+00:00,377.47,378.1986,372.99,373.01,25906375
2020-07-29 00:00:00+00:00,375.0,380.92,374.85,380.16,22582314
2020-07-30 00:00:00+00:00,376.75,385.19,375.07,384.76,39532505
2020-07-31 00:00:00+00:00,411.535,425.66,403.3,425.04,93573867
2020-08-03 00:00:00+00:00,432.8,446.5457,431.57,435.75,77037847
2020-08-04 00:00:00+00:00,436.53,443.16,433.55,438.66,43198092
2020-08-05 00:00:00+00:00,437.51,441.57,435.59,440.25,30497988
2020-08-06 00:00:00+00:00,441.62,457.65,439.19,455.61,50607225
2020-08-07 00:00:00+00:00,452.82,454.7,441.17,444.45,49511403
2020-08-10 00:00:00+00:00,450.4,455.1,440.0,450.91,53100856
2020-08-11 00:00:00+00:00,447.875,449.93,436.4267,437.5,46975594
2020-08-12 00:00:00+00:00,441.99,453.1,441.19,452.04,41486205
2020-08-13 00:00:00+00:00,457.72,464.17,455.71,460.04,52520516
2020-08-14 00:00:00+00:00,459.315,460.0,452.18,459.63,41391302
2020-08-17 00:00:00+00:00,464.25,464.35,455.8501,458.43,29431414
2020-08-18 00:00:00+00:00,457.41,464.0,456.03,462.25,26408385
2020-08-19 00:00:00+00:00,463.933,468.65,462.44,462.83,36384502
2020-08-20 00:00:00+00:00,463.0,473.568,462.9335,473.1,31726797
2020-08-21 00:00:00+00:00,477.05,499.472,477.0,497.48,84513660
2020-08-24 00:00:00+00:00,514.79,515.14,495.745,503.43,86484442
2020-08-25 00:00:00+00:00,498.79,500.7172,492.21,499.3,52873947
2020-08-26 00:00:00+00:00,504.7165,507.97,500.33,506.09,40755567
2020-08-27 00:00:00+00:00,508.57,509.94,495.33,500.04,38888096
2020-08-28 00:00:00+00:00,504.05,505.77,498.31,499.23,46907479
2020-08-31 00:00:00+00:00,127.58,131.0,126.0,129.04,223505733
2020-09-01 00:00:00+00:00,132.76,134.8,130.53,134.18,152470142
2020-09-02 00:00:00+00:00,137.59,137.98,127.0,131.4,200118991
2020-09-03 00:00:00+00:00,126.91,128.84,120.5,120.88,257599640
2020-09-04 00:00:00+00:00,120.07,123.7,110.89,120.96,332607163
2020-09-08 00:00:00+00:00,113.95,118.99,112.68,112.82,231366563
2020-09-09 00:00:00+00:00,117.26,119.14,115.26,117.32,176940455
2020-09-10 00:00:00+00:00,120.36,120.5,112.5,113.49,182274391
2020-09-11 00:00:00+00:00,114.57,115.23,110.0,112.0,180860325
2020-09-14 00:00:00+00:00,114.72,115.93,112.8,115.355,140150087
2020-09-15 00:00:00+00:00,118.33,118.829,113.61,115.54,184642039
2020-09-16 00:00:00+00:00,115.23,116.0,112.04,112.13,155026675
2020-09-17 00:00:00+00:00,109.72,112.2,108.71,110.34,178010968
2020-09-18 00:00:00+00:00,110.4,110.88,106.09,106.84,287104882
2020-09-21 00:00:00+00:00,104.54,110.19,103.1,110.08,195713815
2020-09-22 00:00:00+00:00,112.68,112.86,109.16,111.81,183055373
2020-09-23 00:00:00+00:00,111.62,112.11,106.77,107.12,150718671
2020-09-24 00:00:00+00:00,105.17,110.25,105.0,108.22,167743349
2020-09-25 00:00:00+00:00,108.43,112.44,107.67,112.28,149981441
2020-09-28 00:00:00+00:00,115.01,115.32,112.78,114.96,137672403
2020-09-29 00:00:00+00:00,114.55,115.31,113.57,114.09,100060526
2020-09-30 00:00:00+00:00,113.79,117.26,113.62,115.81,142675184
2020-10-01 00:00:00+00:00,117.64,117.72,115.83,116.79,116120440
2020-10-02 00:00:00+00:00,112.89,115.37,112.22,113.02,144711986
2020-10-05 00:00:00+00:00,113.91,116.65,113.55,116.5,106243839
2020-10-06 00:00:00+00:00,115.7,116.12,112.25,113.16,161498212
2020-10-07 00:00:00+00:00,114.62,115.55,114.13,115.08,96848985
2020-10-08 00:00:00+00:00,116.25,116.4,114.5901,114.97,83477153
2020-10-09 00:00:00+00:00,115.28,117.0,114.92,116.97,100506865
2020-10-12 00:00:00+00:00,120.06,125.18,119.2845,124.4,240226769
2020-10-13 00:00:00+00:00,125.27,125.39,119.65,121.1,262330451
2020-10-14 00:00:00+00:00,121.0,123.03,119.62,121.19,151062308
2020-10-15 00:00:00+00:00,118.72,121.2,118.15,120.71,112559219
2020-10-16 00:00:00+00:00,121.28,121.548,118.81,119.02,115393808
2020-10-19 00:00:00+00:00,119.96,120.419,115.66,115.98,120639337
2020-10-20 00:00:00+00:00,116.2,118.98,115.63,117.51,124423728
2020-10-21 00:00:00+00:00,116.67,118.705,116.45,116.87,89945980
2020-10-22 00:00:00+00:00,117.45,118.04,114.59,115.75,101987954
2020-10-23 00:00:00+00:00,116.39,116.55,114.28,115.04,82572645
2020-10-26 00:00:00+00:00,114.01,116.55,112.88,115.05,111850657
2020-10-27 00:00:00+00:00,115.49,117.28,114.5399,116.6,92276772
2020-10-28 00:00:00+00:00,115.05,115.43,111.1,111.2,143937823
2020-10-29 00:00:00+00:00,112.37,116.93,112.2,115.32,146129173
